year,state,Auto,Bus,Truck,Motorcycle
2000,Oklahoma,1587115,16593,1410783,57646
2000,Oregon,1541253,13305,1467016,69468
2000,Pennsylvania,6032058,35699,3192210,215737
2000,Rhode Island,538975,1957,218638,19484
2000,South Carolina,1924398,16218,1154113,51679
2000,South Dakota,380281,2726,409502,29205
2000,Tennessee,2854569,17221,1948009,71084
2000,Texas,7616183,85397,6368516,187174
2000,Utah,866723,1250,759633,28291
2000,Vermont,295640,2004,217239,21740
2000,Virginia,3873910,18190,2154027,60857
2000,Washington,2891430,9254,2215182,118697
2000,West Virginia,795249,3204,643282,26307
2000,Wisconsin,2526849,13620,1825056,179576
2000,Wyoming,215110,2766,367814,19187
2001,Alabama,1765088,8826,2461175,54998
2001,Alaska,242293,2568,352873,16788
2001,Arizona,2263970,4725,1698422,191364
2001,Arkansas,973531,6936,883331,29290
2001,California,17918760,49041,10812255,488042
2001,Colorado,2367565,5875,2275380,194856
2001,Connecticut,2051140,10197,855531,51883
2001,Delaware,410464,2062,240559,12656
2001,District of Columbia,203693,2669,42500,1472
2001,Florida,8937563,45621,5356918,305461
2001,Georgia,4084746,18538,3201501,91946
2001,Hawaii,528622,4640,334811,21749
2001,Idaho,577762,3710,742376,39272
2001,Illinois,6424601,17987,3418902,256834
2001,Indiana,3229359,28120,2367552,127374
2001,Iowa,1870457,8316,1439536,137973
2001,Kansas,842312,3880,1484509,51811
2001,Kentucky,2122875,13347,1489478,46206
2001,Louisiana,1994403,20815,1593341,50507
2001,Maine,617781,2836,396922,32808
2001,Maryland,2595892,11923,1331033,54711
2001,Massachusetts,3530955,11673,1655593,114965
2001,Michigan,4903195,26060,3524396,199168
2001,Minnesota,2564940,15397,1973849,152040
2001,Mississippi,1147240,9234,797299,26840
2001,Missouri,2490721,12424,1704693,64513
2001,Montana,460024,2814,570246,26481
2001,Nebraska,833979,6209,793262,23076
2001,Nevada,679137,1904,598787,32521
2001,New Hampshire,684378,1810,413352,53321
2001,New Jersey,4517906,22407,2039712,125747
2001,New Mexico,671132,3402,753926,28269
2001,New York,7597371,55698,2543399,118864
2001,North Carolina,3713667,31226,2434858,86761
2001,North Dakota,347620,2291,357674,18214
2001,Ohio,6666033,38330,3850539,269082
2001,Oklahoma,1748889,17039,1515152,77566
2001,Oregon,1559228,13572,1466595,72522
2001,Pennsylvania,6231291,36478,3362986,238433
2001,Rhode Island,536246,1860,226372,21374
2001,South Carolina,1919405,16630,1206704,56660
2001,South Dakota,389032,2598,411866,31525
2001,Tennessee,3011787,17080,2109976,83880
2001,Texas,7724309,79531,6554917,213299
2001,Utah,924021,1262,826451,38787
2001,Vermont,301765,2073,229947,24194
2001,Virginia,3976364,18260,2176757,65056
2001,Washington,2903201,9719,2266177,123492
2001,West Virginia,786539,3120,662393,27855
2001,Wisconsin,2579061,14004,1879870,209486
2001,Wyoming,211154,2811,358658,21064
2002,Alabama,1801678,8894,2617427,62010
2002,Alaska,255217,2250,362948,18173
2002,Arizona,2237596,4728,1697257,219105
2002,Arkansas,960263,7331,905156,34101
2002,California,18449629,50322,11118654,535424
2002,Colorado,956817,5864,1187875,1201
2002,Connecticut,2026792,10382,877657,62061
2002,Delaware,416503,2018,255622,13820
2002,District of Columbia,192595,2706,42248,1465
2002,Florida,8471458,46130,5446008,345490
2002,Georgia,4211547,19072,3416904,109024
2002,Hawaii,532348,4769,355436,20584
2002,Idaho,598116,3801,783903,42703
2002,Illinois,6099582,17991,3459649,232187
2002,Indiana,3216400,29057,2419269,135552
2002,Iowa,1861830,8320,1440258,140544
2002,Kansas,843199,3886,1489616,53687
2002,Kentucky,2087841,13742,1499169,48508
2002,Louisiana,1988568,20187,1651569,53935
2002,Maine,583361,2928,381294,31021
2002,Maryland,2523020,11945,1348960,56823
2002,Massachusetts,3636333,11398,1759115,129663
2002,Michigan,4874315,26329,3632991,204805
2002,Minnesota,2503849,15107,2001358,158516
2002,Mississippi,1136337,9255,809184,27037
2002,Missouri,2481695,11806,1741530,64179
